Line num,17478
packages num,7,16
files num,12,78
Average Line num per featured file,297,3566
cmd/micro,883
internal/action,4850
internal/buffer,4769
internal/clipboard,198
internal/config,1777
internal/display,1631
internal/info,208
internal/lua,536
internal/screen,177
internal/shell,268
internal/util,497
internal/views,397
pkg/highlight,705
runtime,26
runtime/syntax,191
tools,365
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,2,Receive,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,8,Known chan length (length),50,10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,1,Goroutine,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,17,Select with default (number of branch),57,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,3,Send,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/save.go,8,Known chan length (length),40,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/save.go,1,Goroutine,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/save.go,2,Receive,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer.go,1,Goroutine,799,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/clipboard/terminal.go,16,Select (number of branch),19,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/clipboard/terminal.go,2,Receive,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/clipboard/terminal.go,2,Receive,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,27,Mutex,12,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,4,Synchronous chan,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,29,Mutex Lock(),19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,28,Mutex Unlock(),21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,29,Mutex Lock(),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,28,Mutex Unlock(),27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,1,Goroutine,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,29,Mutex Lock(),34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,28,Mutex Unlock(),36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,3,Send,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,30,Waitgroup,93,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,25,Waitgroup Add(var),94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,4,Synchronous chan,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,30,Waitgroup,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,24,Waitgroup Add(const),99,&{14163468 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,5,Go in for,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,1,Goroutine,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,3,Send,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,26,Waitgroup Done(),104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,1,Goroutine,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,6,Range over chan,109,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,26,Waitgroup Done(),112,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,31,Waitgroup Wait(),114,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,15,Close chan,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,31,Waitgroup Wait(),116,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,27,Mutex,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,29,Mutex Lock(),34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,28,Mutex Unlock(),39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,17,Select with default (number of branch),44,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,3,Send,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,8,Known chan length (length),138,8
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/screen/screen.go,8,Known chan length (length),191,8
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/action/command.go,1,Goroutine,688,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/lua/lua.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/job.go,8,Known chan length (length),12,100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/job.go,3,Send,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/job.go,1,Goroutine,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/job.go,3,Send,82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/shell.go,8,Known chan length (length),105,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/shell.go,1,Goroutine,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/shell.go,6,Range over chan,108,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/terminal.go,4,Synchronous chan,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/terminal.go,1,Goroutine,95,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/shell/terminal.go,3,Send,120,
